"","Area","Item","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015"
"28351","Philippines","Eggplants (aubergines)",104040,110451,111672,123471,130702,157603,195032,163833,159744,166146,169819,179659,176991,182753,187793,191911,210156,199579,200942,208242,207994,211885,219911,225579,232864
"28354","Philippines","Fibre crops nes",1255,1289,1300,1400,1500,1550,1700,1666,1689,1705,1715,1722,1602,1592,1379,1418,1466,1524,1595,1600,1849,1900,1900,1900,1897
"28357","Philippines","Fruit, citrus nes",148996,158252,151650,155805,161454,164996,155479,169387,178005,180844,181747,180999,180923,179020,200808,196595,201619,199675,192187,188340,182550,178549,164091,160740,162676
"28360","Philippines","Fruit, fresh nes",178000,176500,178000,179000,160500,213000,156600,150000,145000,140000,165000,177472,186956,167000,166000,184164,207394,235863,229373,290951,210499,247014,242065,241901,249013
"28363","Philippines","Fruit, tropical fresh nes",3385000,3356000,3367000,3402000,3045000,4056000,2966000,2846000,2935000,2900000,3100000,3189372,3229604,3194226,3184003,3e+06,3187571,3200000,3300000,3225476,3300000,3300000,3300000,3300000,3231058
"28366","Philippines","Garlic",12425,11766,12310,15728,17227,18591,20180,12757,9335,13688,15364,16257,15529,14999,13234,12581,11285,11348,10451,9563,9056,8808,8986,8993,10420
"28369","Philippines","Ginger",21346,21025,20424,21358,22704,24011,21715,17973,20793,22679,23424,23022,22616,24063,24700,27261,27946,27538,27415,27097,27755,27677,28216,27197,26623
"28372","Philippines","Grapefruit (inc. pomelos)",26513,23833,23915,22982,22831,48799,49763,46868,48052,46326,43413,45291,43159,41481,40751,38662,38345,36686,34467,33472,30604,30506,29973,29994,30137
"28375","Philippines","Grapes",385,367,383,376,364,360,355,345,235,210,174,181,130,130,129,116,99,151,147,152,162,169,172,171,210
"28378","Philippines","Groundnuts, with shell",31377,34010,34030,36574,36200,33497,25836,24718,25948,26827,26151,26246,26125,27087,28437,29151,31205,30247,30978,29624,29734,29136,29091,29196,29195
"28382","Philippines","Leeks, other alliaceous vegetables",NA,NA,7945,10125,11582,12285,13393,11732,10454,16300,13319,13156,12518,13449,12333,12752,12604,12840,12911,10643,10293,10037,9370,9093,8663
"28385","Philippines","Lemons and limes",1503,1582,1534,1610,1616,1694,1729,2366,2486,2099,2107,2100,1922,1953,2151,2252,2455,2076,1704,1403,1191,1085,1038,1000,965
"28388","Philippines","Lettuce and chicory",1672,1616,1759,1781,1774,1821,1794,1597,1439,1421,1475,1495,1579,1721,3386,3348,3335,3566,3577,3634,3519,3647,4041,4061,3810
"28391","Philippines","Maize",4655026,4618854,4797977,4519246,4128510,4151332,4332417,3823184,4584593,4511104,4525012,4319262,4615625,5413386,5253160,6082109,6736940,6928225,7034033,6376796,6971221,7407068,7377293,7770603,7518756
"28395","Philippines","Mangoes, mangosteens, guavas",498440,538068,563001,641006,715224,805972,1010596,1015109,887204,868569,901893,976857,1026949,986613,1003273,936370,1040966,897199,785510,843508,800551,783420,831224,899014,917005
"28398","Philippines","Manila fibre (abaca)",63991,62684,59517,66410,64833,70431,67110,71217,73125,77180,72861,63028,69765,74465,74014,69802,66437,68386,65825,66512,68612,68510,64952,68053,68856
